name,Age,km_driven,FuelEconomy_kmpl,engine_p,engine_v,selling_price
Maruti Swift Ldi BSIV,10,130000,17.8,73,1248,320000
Skoda Yeti Ambition 4WD,9,202000,17.6,88,1968,600000
Maruti Ciaz S 1.3,2,40000,28.0,81,1248,1000000
Maruti Zen LX,20,70000,17.3,88,993 ,110000
Honda City 2017-2020 GXi,12,120000,17.7,58,1497,250000
Maruti Swift Dzire VDI,5,60000,26.5,67,1248,600000
Maruti Zen Estilo LXI BS IV,11,60000,19.0,46,998 ,165000
Maruti Alto LXI,16,60000,19.7,85,796 ,118000
Maruti Baleno Delta 1.3,4,78000,27.3,73,1248,700000
Renault Duster 85PS Diesel RxL Optional,7,80000,20.4,83,1461,585000
Maruti Alto LXi,14,120000,19.7,85,796 ,120000
Maruti 800 Std MPFi,17,90000,16.1,98,796 ,65000
Maruti Alto LX,14,100000,19.7,88,796 ,150000
Maruti Alto Std,11,70000,19.7,67,796 ,150000
Hyundai Accent VIVA CRDi,16,160000,13.1,88,1493,170000
Mahindra Scorpio 2.6 CRDe,14,120000,10.5,85,2179,250000
Hyundai Accent CRDi,15,100000,13.1,88,1493,100000
Maruti Ertiga VDI,7,60000,20.7,85,1248,599000
Chevrolet Cruze LTZ,10,135000,18.3,67,1991,250000
Maruti Swift VXI Optional,4,90000,20.4,62,1197,570000
Volkswagen Polo Diesel Highline 1.2L,7,75000,22.0,88,1199,440000
Toyota Innova 2.5 E Diesel MS 7-seater,15,185000,11.4,55,2494,300000
Nissan Micra XV CVT,5,71717,19.3,55,1198,300000
Mahindra Scorpio VLX 2WD ABS AT BSIII,9,150000,11.7,98,2179,500000
Maruti Swift Dzire VDI,4,55000,26.5,46,1248,660000
Ford Fiesta Classic 1.6 Duratec LXI,8,90000,15.3,67,1596,256000
Renault KWID 1.0 RXT Optional,2,35000,23.0,67,999 ,409999
Toyota Fortuner 4x4 MT,5,120000,12.5,88,2982,1888000
Hyundai Santro Xing GLS LPG,9,100000,13.4,81,1086,250000
Honda Civic 1.8 V AT,11,40000,12.9,73,1799,280000
Mahindra Xylo D2,10,100000,13.0,88,2489,300000
Tata Safari Storme LX,4,120000,14.1,91,2179,900000
Maruti Zen Estilo VXI BSIV,6,60000,19.0,40,998 ,190000
Mahindra Bolero Power Plus Plus AC BSIV PS,1,2000,15.9,73,2523,800000
Mahindra Scorpio EX,8,100000,14.0,55,2523,450000
Mahindra Xylo D2 BS III,5,110000,14.9,58,2489,400000
Tata New Safari Dicor VX 4X2 BS IV,11,90000,13.9,81,2179,150000
Tata Indigo CR4,9,84321,23.5,73,1396,200000
Mahindra XUV500 W8 AWD,7,177000,15.1,64,2179,600000
Tata Indica Vista Aqua 1.3 Quadrajet,10,60000,18.0,98,1248,175000
Tata Indigo CS LE (TDI) BS-III,12,205000,19.0,46,1396,99000
Hyundai i10 Asta,12,70000,20.3,67,1197,215000
Renault Duster 110PS Diesel RxL,7,126000,19.0,66,1461,520000
Ford Endeavour 3.2 Titanium AT 4X4,4,120000,10.9,88,3198,2280000
Tata Indica Vista TDI LS,5,70000,19.1,56,1405,285000
Mahindra TUV 300 T4 Plus,3,82000,18.4,73,1493,660000
Maruti 800 Std,16,110000,16.1,55,796 ,31504
Maruti Swift Dzire VXI,5,45000,20.8,67,1197,515000
Nissan Sunny Diesel XL,8,70000,21.6,88,1461,295000
Nissan Terrano XL 85 PS,5,80000,20.4,62,1461,700000
Mahindra Scorpio Intelli Hybrid S6 Plus,3,45000,15.4,56,2179,1100000
Hyundai EON 1.0 Era Plus,3,60000,20.3,85,998 ,300000
Maruti Swift VXI,7,41800,18.6,88,1197,450000
Maruti Swift Dzire VDI,3,50000,28.4,55,1248,700000
Ford Figo Diesel ZXI,8,40000,20.0,63,1399,250000
Maruti Wagon R LXI Minor,11,96000,18.9,55,1061,140000
Mahindra Xylo D4 BSIII,8,117000,14.0,81,2498,250000
Hyundai i10 Era,9,110000,19.8,88,1086,210000
Honda Amaze S i-Dtech,6,100000,25.8,67,1498,420000
Maruti Alto LXi,13,88700,19.7,63,796 ,130000
Nissan Sunny XL,8,70000,16.9,58,1498,320000
Maruti Wagon R LX BSIII,10,110000,17.3,67,1061,200000
Maruti Alto 800 LXI,4,15000,22.7,67,796 ,310000
Mahindra Verito 1.5 D4 BSIII,8,80000,20.8,98,1461,200000
Maruti Ritz VXi,6,50000,18.5,98,1197,350000
Hyundai EON Sportz,2,15000,21.1,83,814 ,444000
Datsun RediGO T,3,25000,22.7,81,799 ,300000
Mahindra Verito 1.5 D4 BSIII,9,57000,21.0,88,1461,225000
Mahindra Bolero 2011-2019 ZLX,8,75000,15.9,81,2523,600000
Maruti Eeco 5 Seater AC BSIV,7,26000,15.3,62,1196,260000
Hyundai Xcent 1.1 CRDi S Option,5,160000,24.4,67,1120,375000
Maruti Eeco 5 Seater AC BSIV,7,26000,15.3,53,1196,260000
Maruti Alto LXi BSIII,10,120000,19.7,55,796 ,150000
Maruti Alto LXi,6,50000,19.7,88,796 ,110000
Maruti Alto LX,8,40000,19.7,91,796 ,225000
Honda City i VTEC V,3,28000,17.8,67,1497,860000
Maruti Swift Dzire LDI,2,50000,28.4,98,1248,650000
Maruti Ertiga ZDI,6,90000,20.7,98,1248,650000
Hyundai Verna 1.4 CRDi,4,40000,24.8,82,1396,710000
Ford Figo 1.5D Base MT,3,113000,25.8,91,1498,430000
Maruti Swift Vdi BSIII,9,188000,17.8,88,1248,305000
Ford Figo Diesel Titanium,9,100000,20.0,91,1399,220000
Tata Sumo MKII Turbo 2.0 LX,10,225000,14.0,81,1948,150000
Mahindra TUV 300 mHAWK100 T8,3,67000,18.4,81,1493,660000
Chevrolet Beat Diesel LT Option,9,70000,25.4,47,936 ,140000
Toyota Corolla Altis JS MT,5,50000,14.2,47,1798,1100000
Jaguar XF 2.2 Litre Luxury,7,60000,16.3,46,2179,2450000
Volkswagen Ameo 1.5 TDI Comfortline AT,3,34000,22.0,81,1498,625000
Honda City 1.5 GXI,16,110000,12.8,55,1493,198000
Maruti Wagon R LXI,15,140000,18.9,88,998 ,130000
Honda City Corporate Edition,8,100000,16.8,67,1497,540000
Hyundai Grand i10 1.2 Kappa Sportz AT,3,10000,18.9,98,1197,550000
Maruti Celerio ZXI Optional,2,30000,21.6,67,998 ,475000
Audi Q3 2.0 TDI Quattro Premium Plus,3,22000,15.7,46,1968,2825000
Honda Civic ZX Diesel BSIV,0,5500,26.8,88,1597,2125000
BMW X1 sDrive20d M Sport,2,18000,19.6,88,1998,3350000
Toyota Innova Crysta 2.8 GX AT 8S BSIV,2,20000,11.3,57,2755,1800000
Hyundai Santro Asta BSIV,2,7000,20.3,88,1086,540000
Force Gurkha Hard Top BS3 4WD,2,20000,17.0,97,2596,910000
Maruti Celerio VXI,1,4875,21.6,81,998 ,484999
Hyundai Creta 1.6 CRDi AT SX Plus,0,2700,17.0,85,1582,1950000
Maruti Vitara Brezza ZDi,2,58511,24.3,81,1248,950000
Ford Figo 1.5D Titanium MT,5,105000,25.8,88,1498,365000
Mahindra Thar CRDe ABS,2,26235,16.5,81,2498,900000
Tata Nexon 1.5 Revotorq XZ Plus,3,26766,21.5,55,1497,919999
MG Hector Sharp DCT Dualtone,0,1600,13.9,53,1451,1900000
Mercedes-Benz New C-Class C 220 CDI Elegance MT,2,46000,15.8,67,2148,2950000
Mahindra Marazzo M2 BSIV,1,23000,17.3,63,1497,1075000
Maruti Swift VXI Optional,3,24522,20.4,67,1197,600000
BMW 3 Series 320d,3,13663,22.6,52,1995,3200000
Skoda Octavia Style Plus 2.0 TDI AT,1,11000,19.3,81,1968,2600000
Maruti Vitara Brezza ZDi Plus,4,63000,24.3,98,1248,839000
Volkswagen Polo 1.2 MPI Comfortline,1,2000,16.2,98,1199,635000
Mahindra Scorpio VLX 2WD AIRBAG BSIV,6,300000,12.0,68,2179,550000
Mahindra Logan Diesel 1.5 DLE,9,190000,19.2,73,1461,180000
Honda City i DTEC E,5,80000,26.0,81,1498,650000
Honda Jazz Select Edition Active,9,80000,16.0,68,1198,350000
Maruti Alto K10 LXI,5,54000,23.9,98,998 ,265000
Renault KWID 1.0 RXT Optional,2,30000,23.0,81,999 ,330000
Maruti Eeco 7 Seater Standard BSIV,1,5000,15.3,81,1196,395000
Mahindra TUV 300 T8,5,58945,18.4,88,1493,700000
Ford Figo Diesel Titanium,8,90000,20.0,88,1399,300000
Toyota Innova 2.5 G (Diesel) 7 Seater BS IV,9,375000,12.8,88,2494,650000
Maruti Ertiga VDI,7,160000,20.7,81,1248,625000
Volkswagen Polo GT TDI,6,80000,15.1,88,1598,425000
Maruti 800 AC BSII,16,50000,16.1,79,796 ,55000
Tata Indigo CS LX (TDI) BS-III,5,80000,19.0,85,1405,250000
Mahindra Bolero 2011-2019 Plus AC,5,156975,15.9,98,2523,459999
Toyota Corolla Altis 1.4 DGL,3,5000,21.4,67,1364,1594000
Chevrolet Sail 1.2 LS ABS,6,50000,18.2,47,1199,300000
Ford EcoSport 1.5 TDCi Titanium BSIV,2,27620,22.7,88,1498,950000
Mahindra Scorpio LX,7,120000,12.0,46,2179,484999
Mahindra Xylo E8,11,120000,14.0,83,2498,161000
Hyundai i20 Active 1.2 S,5,58000,17.1,47,1197,500000
Nissan Sunny XV,8,50000,16.9,67,1498,350000
Maruti Ignis 1.2 AMT Alpha BSIV,3,40000,20.8,73,1197,550000
Honda WR-V i-VTEC VX,2,7800,17.5,47,1199,850000
Maruti Alto 800 LXI,4,50000,22.7,81,796 ,240000
Ford Endeavour 2.5L 4X2 MT,9,68000,13.1,98,2499,950000
Maruti Ertiga VXI,5,60000,16.0,81,1373,423000
Tata Indigo GLS,15,74000,12.8,67,1396,90000
Tata New Safari DICOR 2.2 VX 4x2 BS IV,9,58000,13.9,73,2179,350000
Maruti A-Star Vxi,9,70000,19.0,81,998 ,170000
Ford Figo Aspire 1.2 Ti-VCT Titanium Plus,5,70000,18.1,88,1196,450000
Hyundai i10 Magna,11,110000,20.3,56,1197,150000
Hyundai i20 Sportz 1.4 CRDi,4,80000,22.5,47,1396,511000
Maruti Ertiga 1.5 VDI,2,59000,24.2,88,1498,850000
Tata Indica V2 eLS,2,110000,25.0,98,1396,250000
Maruti Celerio ZXI,0,25000,21.6,67,998 ,420000
Maruti Alto 800 LXI,6,55000,22.7,98,796 ,180000
Maruti Celerio ZDi,5,25000,27.6,81,793 ,400000
Mahindra Xylo E4,11,300000,14.0,46,2498,150000
Ford Figo 1.5D Titanium MT,4,143200,25.8,78,1498,500000
Jeep Compass 2.0 Longitude Option BSIV,3,60000,17.1,73,1956,1689999
Nissan Micra Diesel XV Premium,8,120000,23.0,62,1461,204999
Maruti Ciaz VDi Plus,6,145000,26.2,65,1248,459999
Hyundai i20 2015-2017 Magna 1.2,3,30000,18.6,81,1197,600000
Hyundai Grand i10 1.2 Kappa Sportz Dual Tone,1,8000,18.9,83,1197,585000
Ford Endeavour 2.5L 4X2 MT,8,170000,13.1,83,2499,551000
Maruti Swift Dzire LDI,7,100000,23.4,88,1248,525000
Maruti Omni 8 Seater BSIV,8,62000,14.0,81,796 ,160000
Mahindra XUV500 W8 AWD,6,110000,15.1,89,2179,825000
Chevrolet Tavera Neo 3 LS 9 Str BSIII,5,80000,13.5,98,2499,600000
Maruti Zen Base,18,80000,17.3,98,993 ,65000
Maruti Swift Dzire VDI,7,100000,23.4,94,1248,550000
Mahindra Bolero 2011-2019 Plus - AC BSIII,5,120000,15.9,98,2523,650000
Maruti Swift Dzire VDI,1,24000,28.4,68,1248,750000
Mahindra KUV 100 mFALCON D75 K8,3,80000,25.3,88,1198,380000
Hyundai Verna 1.6 SX CRDi (O),8,138000,22.3,74,1582,400000
Maruti Wagon R LXI,17,147000,18.9,83,998 ,50000
Mahindra TUV 300 mHAWK100 T8 Dual Tone,3,60000,18.4,67,1493,750000
Chevrolet Spark 1.0 LS,9,80000,18.0,88,995 ,150000
Maruti Alto 800 LXI,4,50000,22.7,81,796 ,245000
Tata Manza Club Class Quadrajet90 VX,7,189000,21.0,88,1248,260000
Volkswagen Vento 1.5 TDI Highline AT,6,90000,21.2,81,1498,411000
Hyundai i20 Sportz 1.4 CRDi,6,56000,21.9,73,1396,450000
BMW 3 Series 320d Luxury Line,8,140000,18.8,88,1995,1300000
Maruti Celerio VXI,4,60000,23.1,67,998 ,351000
Mahindra XUV500 W8 4WD,8,130000,15.1,88,2179,550000
BMW 3 Series 320d Luxury Plus,7,140000,18.8,81,1995,1300000
Tata Manza Club Class Quadrajet90 VX,7,189000,21.0,88,1248,260000
Volkswagen Vento 1.5 TDI Highline AT,6,90000,21.2,81,1498,411000
Hyundai i20 Sportz 1.4 CRDi,6,56000,21.9,73,1396,450000
BMW 3 Series 320d Luxury Line,8,140000,18.8,88,1995,1300000
Maruti Celerio VXI,4,60000,23.1,67,998 ,351000
Mahindra XUV500 W8 4WD,8,130000,15.1,88,2179,550000
BMW 3 Series 320d Luxury Plus,7,140000,18.8,81,1995,1300000
Nissan Terrano XE 85 PS,4,35000,20.4,88,1461,750000
Nissan Terrano XL 85 PS,5,35000,20.4,81,1461,800000
Tata New Safari DICOR 2.2 EX 4x2,9,156000,11.5,73,2179,350000
Maruti Alto 800 LX,7,90000,22.7,88,796 ,200000
Tata Indigo LS,12,60000,17.0,89,1405,150000
Nissan Terrano XL 110 PS,4,36000,19.0,81,1461,800000
Hyundai EON Era Plus Sports Edition,3,20000,21.1,47,814 ,350000
Tata New Safari DICOR 2.2 VX 4x2,9,160000,13.9,88,2179,350000
Mahindra Scorpio 2.6 Turbo 9 Str,14,185000,12.7,83,2609,250000
Tata Indica Vista Terra 1.4 TDI,10,110000,17.0,88,1405,170000
Renault KWID RXT Optional,2,10800,25.1,62,799 ,395000
Mahindra Bolero 2011-2019 SLE,8,120000,15.9,83,2523,450000
Maruti Ignis 1.2 Delta BSIV,1,15000,20.8,69,1197,500000
Tata Sumo EX 10/7 Str BSIII,8,67500,12.2,83,1948,200000
Tata Hexa XM,3,30000,17.6,81,2179,1200000
Mahindra KUV 100 mFALCON D75 K8,4,50000,25.3,85,1198,400000
Mahindra TUV 300 T8,4,100000,18.4,73,1493,650000
Mahindra Bolero 2011-2019 DI - AC BS III,4,150000,15.9,73,2523,550000
Mahindra XUV500 W10 2WD,5,110000,16.0,47,2179,1100000
Maruti Alto 800 LXI,8,30000,22.7,78,796 ,254999
Maruti Alto LXi,9,60000,19.7,81,796 ,180000
Mahindra Xylo D2,10,255000,13.0,88,2489,160000
Chevrolet Optra Magnum 2.0 LT BS3,12,120000,16.5,67,1991,225000
Maruti Alto 800 LXI,5,49900,22.7,88,796 ,270000
Tata Manza Aura Quadrajet BS IV,8,86000,21.1,81,1248,310000
Datsun GO T BSIV,5,71850,20.6,88,1198,225000
Fiat Grande Punto EVO 1.3 Dynamic,5,95000,21.2,81,1248,300000
Maruti Swift Dzire VXi,12,70000,17.5,73,1298,250000
Hyundai EON Sportz,9,35000,21.1,88,814 ,180000
Maruti Swift Dzire VXI,5,50000,20.8,68,1197,550000
Mahindra Bolero XL 10 Seater Non AC,13,120000,13.6,74,2523,300000
Hyundai Elantra CRDi SX,5,145000,22.7,88,1582,900000
Mahindra XUV500 W9 2WD,2,40000,16.0,88,2179,1530000
Maruti Baleno Delta 1.3,5,110000,27.3,57,1248,590000
Maruti Wagon R LXI DUO BSIII,12,112000,17.3,67,1061,170000
Audi A3 35 TDI Premium Plus,3,70000,20.3,81,1968,2600000
Maruti Ritz VDi,4,110000,23.2,67,1248,475000
Hyundai Grand i10 1.2 CRDi Asta,2,29000,24.0,73,1186,700000
Maruti Wagon R VXI BS IV,9,60000,18.9,81,998 ,376000
Maruti 800 Std BSII,16,46000,16.1,67,796 ,75000
Mahindra Scorpio VLS AT 2.2 mHAWK,8,120000,11.7,55,2179,440000
Maruti Wagon R VXI Optional,4,80000,20.5,83,998 ,390000
Toyota Innova 2.5 VX 7 STR,8,159000,12.8,89,2494,725000
Mahindra Bolero 2011-2019 SLE,8,110000,15.9,73,2523,325000
Maruti Alto LXi,10,75000,19.7,88,796 ,170000
Maruti Swift Dzire LDi,10,120000,19.3,81,1248,215000
Honda City 1.5 V Inspire,10,110000,17.0,37,1497,350000
Chevrolet Spark 1.0 LS,11,80000,18.0,81,995 ,80000
Hyundai EON Magna Plus,8,80000,21.1,98,814 ,195000
Nissan Sunny Diesel XL,6,71000,21.6,98,1461,335000
Mahindra XUV500 W6 2WD,9,108000,16.0,85,2179,475000
Renault Duster 85PS Diesel RxL,5,75000,19.8,46,1461,484999
Maruti Ciaz Delta BSIV,2,22000,21.5,86,1462,650000
Audi Q5 3.0 TDI Quattro,6,76131,13.2,46,2967,1850000
Hyundai i20 1.2 Asta,2,30000,18.6,88,1197,700000
Audi Q7 3.0 TDI Quattro,6,65000,12.0,81,2967,3000000
Mahindra Scorpio S3 9 Seater BSIV,2,60000,15.4,62,2523,900000
Volkswagen Polo Diesel Highline 1.2L,7,80000,22.0,67,1199,350000
Honda Accord V6 AT,15,80000,9.0 ,88,2997,285000
Audi Q7 3.0 TDI Quattro Premium Plus,8,70000,12.0,81,2967,1850000
Maruti Vitara Brezza VDi,3,51777,24.3,88,1248,750000
Land Rover Freelander 2 TD4 HSE,7,64788,0.0 ,81,2179,1650000
Honda Amaze V Petrol BSIV,2,20000,19.5,73,1199,600000
Volkswagen Polo 2015-2019 1.0 MPI Comfortline,2,19000,18.7,88,999 ,565000
Daewoo Matiz SS,20,46951,18.5,67,796 ,86000
Datsun GO T BSIV,4,19000,20.6,76,1198,329000
Ford EcoSport 1.5 TDCi Titanium Plus BSIV,4,50000,22.7,47,1498,650000
Hyundai Creta 1.6 CRDi SX Option,5,60000,19.6,65,1582,822000
Renault Duster 110PS Diesel RxL,7,100000,19.0,88,1461,345000
Maruti Zen LXI,19,10000,17.3,98,993 ,30000
Maruti Swift VDI,8,50000,22.9,47,1248,330000
Maruti Wagon R Stingray VXI,6,74537,20.5,88,998 ,300000
Maruti SX4 ZXI AT,11,90000,12.6,93,1586,200000
Chevrolet Spark 1.0,10,70000,18.0,62,995 ,90000
Maruti Wagon R VXI Minor,10,80000,18.9,67,1061,200000
Hyundai Xcent 1.1 CRDi SX,4,35000,24.4,46,1120,550000
Chevrolet Beat LT,5,23500,18.6,64,1199,250000
Honda City i-DTEC VX,3,82000,25.6,67,1498,975000
Toyota Innova 2.5 G (Diesel) 8 Seater,6,100000,12.9,98,2494,900000
Hyundai i20 1.2 Spotz,2,15000,18.6,62,1197,610000
Maruti Baleno Zeta 1.3,3,30000,27.3,74,1248,620000
Hyundai Grand i10 Sportz,4,30000,18.9,88,1197,400000
Maruti Celerio X ZXI BSIV,1,11000,21.6,98,998 ,500000
Datsun GO Plus T,3,140000,19.0,83,1198,200000
Tata Zest Quadrajet 1.3 XM,4,110000,23.0,88,1248,360000
Maruti Alto K10 2010-2014 VXI,8,48000,20.9,67,998 ,252000
Maruti Swift VDI,8,70000,22.9,91,1248,280000
Maruti Swift VXI 2018,2,70000,22.0,67,1197,509999
Mahindra Scorpio 1.99 S6 Plus,4,58000,15.4,67,1997,1050000
Maruti Wagon R LXI DUO BSIII,10,40000,17.3,55,1061,200000
Maruti Zen LXI,15,90000,17.3,81,993 ,60000
Mahindra Xylo E8 ABS Airbag,10,40000,14.0,83,2498,320000
Mahindra Scorpio LX,7,110000,12.0,83,2179,520000
Tata New Safari DICOR 2.2 LX 4x2,13,80000,11.5,88,2179,250000
Maruti Vitara Brezza ZDi,3,60000,24.3,67,1248,725000
Mahindra Bolero 2011-2019 SLX,5,50000,15.9,73,2523,585000
Tata Tiago 1.2 Revotron XZ,3,25000,23.8,83,1199,430000
Maruti Swift VDI,9,100000,22.9,98,1248,235000
Maruti Swift Dzire VDi,8,52000,19.3,68,1248,350000
Hyundai i10 Era 1.1,10,80000,19.8,88,1086,131000
Honda Amaze VX i-DTEC,4,85000,25.8,85,1498,450000
Maruti Vitara Brezza ZDi Plus,4,83000,24.3,53,1248,750000
Maruti Alto 800 LXI,7,50000,22.7,57,796 ,200000
Maruti Wagon R LXI Minor,11,120000,18.9,73,1061,125000
Mahindra Bolero 2011-2019 SLE,6,100000,15.9,66,2523,500000
Maruti Swift VDI,8,70000,22.9,73,1248,380000
Maruti Alto LXi,12,19000,19.7,98,796 ,128000
Honda City 1.5 S MT,11,68600,17.0,88,1497,250000
Mahindra Bolero Power Plus SLX,3,60000,16.5,88,1493,690000
Mahindra Bolero 2011-2019 SLX,6,65000,15.9,55,2523,650000
Honda City E,8,40000,16.8,85,1497,560000
Maruti Celerio VXI,4,25000,23.1,47,998 ,400000
Maruti Alto K10 LXI,8,29500,20.9,91,998 ,200000
Hyundai Verna VTVT 1.6 SX,2,13887,17.0,88,1591,950000
Maruti Alto 800 VXI,4,50000,22.7,67,796 ,300000
Renault KWID RXL,4,30000,25.1,81,799 ,315000
Maruti Alto 800 LXI,8,100000,22.7,67,796 ,220000
Chevrolet Aveo 1.4 LS,9,60000,14.4,88,1399,130000
Hyundai i20 Sportz Option 1.4 CRDi,4,60000,22.5,68,1396,595000
Tata Indica Vista TDI LS,9,120000,19.4,88,1405,110000
Ford EcoSport 1.5 Petrol Ambiente BSIV,3,13500,17.0,88,1497,680000
Fiat Grande Punto Active (Diesel),7,52000,20.3,47,1248,280000
Maruti Baleno Delta 1.2,3,30000,21.4,88,1197,530000
Hyundai Xcent 1.2 Kappa SX Option,3,14000,19.1,62,1197,610000
Tata Aria Pure LX 4x2,6,90000,15.0,62,2179,500000
Tata Tigor 1.05 Revotorq XM,2,50000,24.7,81,1047,500000
Mahindra Xylo D2,10,120000,13.0,81,2489,250000
Hyundai EON Magna Plus,2,10000,21.1,37,814 ,325000
Maruti Baleno Delta 1.2,2,10000,21.4,55,1197,550000
Maruti Ciaz 1.4 Alpha,2,25000,20.7,88,1373,720000
Hyundai Verna VTVT 1.6 SX,3,20000,17.0,81,1591,950000
Maruti Swift VDI,7,60000,22.9,97,1248,350000
Hyundai Grand i10 1.2 Kappa Sportz Option,2,40000,18.9,98,1197,500000
Maruti Swift Dzire VDi,8,60000,19.3,67,1248,380000
Hyundai Xcent 1.2 Kappa AT SX Option,5,50000,16.9,67,1197,380000
Hyundai Verna VTVT 1.6 SX,3,20000,17.0,68,1591,900000
Maruti Alto 800 VXI,3,35000,24.7,88,796 ,295000
Maruti Ciaz VDi Plus SHVS,4,40000,28.0,98,1248,640000
Tata Nexon 1.5 Revotorq XZ Plus,2,60000,21.5,98,1497,790000
Hyundai Verna 1.6 VTVT S Option,5,20000,17.0,88,1591,625000
Ford EcoSport 1.5 Petrol Trend BSIV,3,30000,17.0,88,1497,604000
Maruti Alto K10 VXI,5,29000,23.9,98,998 ,315000
Mahindra XUV300 W6 Diesel BSIV,1,17000,20.0,67,1497,950000
Maruti Wagon R VXI Plus Optional,3,50000,20.5,73,998 ,400000
Hyundai i20 1.4 Magna AT,2,42000,18.6,98,1368,700000
Toyota Innova 2.5 G (Diesel) 8 Seater BS IV,9,120000,12.8,67,2494,700000
Mahindra Verito 1.5 D4 BSIV,8,110000,21.0,93,1461,260000
Tata Indigo CR4,8,90000,23.5,88,1396,200000
Maruti Dzire VXI,0,70000,23.2,73,1197,580000
Volkswagen Vento IPL II Diesel Trendline,9,66000,20.5,67,1598,330000
Hyundai Verna Transform CRDi VGT SX ABS,9,70000,16.2,68,1493,400000
Hyundai Creta 1.6 SX Automatic,2,5000,14.8,83,1591,1350000
Mahindra Verito 1.5 D4 BSIV,6,50000,21.0,62,1461,250000
Skoda Rapid 1.6 MPI Ambition BSIV,1,25000,15.4,85,1598,725000
Maruti Swift Dzire Tour LDI,7,70000,23.4,74,1248,300000
Maruti 800 AC,14,40000,16.1,98,796 ,120000
Mahindra XUV500 W10 2WD,4,110000,16.0,73,2179,1175000
Tata New Safari DICOR 2.2 VX 4x4,11,150000,13.9,73,2179,380000
Tata Indica Vista TDI LX,6,45000,19.1,46,1405,400000
Tata Indigo LX,15,90000,16.1,88,1405,140000
Tata New Safari DICOR 2.2 EX 4x2,9,140000,11.5,85,2179,229999
Ford Ikon 1.3 CLXi,17,83000,13.8,88,1299,110000
Volkswagen Jetta 2.0L TDI Highline AT,9,106000,16.9,88,1968,550000
Chevrolet Aveo U-VA 1.2 LS,12,60000,15.2,67,1150,150000
Maruti Omni E MPI STD BS IV,3,40000,16.8,47,796 ,265000
Hyundai i20 1.2 Asta,9,138000,17.0,67,1197,300000
Maruti Alto 800 LXI,5,80000,22.7,67,796 ,280000
Hyundai Getz GLS,15,50000,15.3,34,1341,130000
Chevrolet Sail 1.2 LS ABS,5,50000,18.2,47,1199,350000
Maruti Ritz VXi,11,120000,18.5,88,1197,200000
Maruti Swift VXI,2,24400,22.0,85,1197,550000
Mahindra Bolero 2011-2019 SLX,7,60000,15.9,68,2523,400000
Maruti Ritz VXi (ABS) BS IV,10,120000,18.5,88,1197,170000
Hyundai Verna 1.4 CRDi,5,60000,24.8,73,1396,600000
Maruti Alto LXi,9,100000,19.7,88,796 ,130000
Maruti 800 AC,9,120000,16.1,73,796 ,100000
Renault KWID RXT,4,27500,25.1,78,799 ,310000
Maruti 800 AC,13,10000,16.1,62,796 ,35000
Hyundai i20 Magna,10,120000,18.5,81,1197,200000
Hyundai i20 Sportz 1.4 CRDi,5,80000,22.5,98,1396,650000
Tata Indigo eCS GLS,7,120000,15.6,73,1193,210000
Hyundai Xcent 1.1 CRDi S Option,5,90000,24.4,73,1120,509999
Ford Figo Diesel Celebration Edition,7,70000,20.0,88,1399,229999
Renault Duster 110PS Diesel RxZ,6,188000,19.0,67,1461,409999
Chevrolet Spark 1.0 LT,9,67840,18.0,47,995 ,130000
Tata Nano CX,7,30000,25.4,88,624 ,95000
Maruti Alto 800 LXI,4,35000,22.7,67,796 ,225000
Maruti Vitara Brezza VDi Option,3,100000,24.3,73,1248,775000
Maruti Wagon R VXI BS IV,3,30000,20.5,63,998 ,420000
Hyundai Grand i10 Sportz Celebration Edition,4,70000,18.9,73,1197,480000
Mahindra Bolero SLE,10,380000,13.6,88,2523,260000
Volkswagen Polo 2015-2019 1.2 MPI Highline Plus,2,15000,16.2,53,1199,600000
Ford Ikon 1.4 TDCi DuraTorq,11,140000,13.8,87,1399,140000
Maruti Omni 8 Seater BSII,10,120000,19.7,73,796 ,130000
Maruti Swift VDI BSIV,13,112880,25.2,88,1248,195000
Tata Indica Vista TDI LS,7,135000,19.4,88,1405,210000
Maruti Wagon R LX,14,80000,18.9,64,998 ,130000
Chevrolet Beat LT,8,128000,18.6,62,1199,141000
Mahindra Bolero SLE BSIII,9,120000,13.6,64,2523,280000
Maruti SX4 ZXI AT Leather,10,30000,12.6,81,1586,350000
Tata Nexon 1.2 Revotron XM,2,70000,17.0,93,1198,575000
Hyundai i20 Sportz Option 1.2,5,41000,18.6,62,1197,550000
Maruti Alto LX,14,30000,19.7,67,796 ,120000
Maruti Alto K10 VXI,5,30000,23.9,67,998 ,320000
Hyundai Accent Executive,9,35000,16.3,53,1495,250000
Maruti SX4 Zxi BSIII,10,22000,15.0,88,1586,300000
Maruti Wagon R VXI,14,70000,18.9,67,998 ,250000
Mahindra Bolero 2011-2019 mHAWK D70 ZLX,2,70000,16.5,88,1493,750000
Mahindra Scorpio 2.6 CRDe,15,200000,10.5,63,2179,151000
Tata Safari DICOR 2.2 EX 4x2,9,120000,13.9,88,2179,300000
Maruti Ignis 1.2 Zeta BSIV,1,3000,20.8,74,1197,577000
Maruti Alto K10 2010-2014 VXI,8,50000,20.9,69,998 ,229999
Mahindra Bolero 2011-2019 ZLX,7,50000,15.9,74,2523,500000
Honda Jazz VX CVT,1,1500,18.2,81,1199,840000
Volkswagen Vento 1.5 TDI Highline,3,74000,22.2,88,1498,900000
